"","pair1","trial","table_motion_mean","trial_duration_mean","Incontrol_leading_mean","Joint_control_mean","Coordinated_mean","Participant_ID_mean","table_motion_sd","trial_duration_sd","Incontrol_leading_sd","Joint_control_sd","Coordinated_sd","Participant_ID_sd","table_motion_n","trial_duration_n","Incontrol_leading_n","Joint_control_n","Coordinated_n","Participant_ID_n"
"1",1,0,16.5712271872204,64.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"2",1,1,42.9066394693836,74.816,5.5,5.5,6.5,1.5,NA,NA,2.12132034355964,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"3",1,2,30.1515926989492,67.8059999999999,3.75,5,5.25,1.5,NA,NA,1.5,2.44948974278318,2.3629078131263,0.577350269189626,5,5,5,5,5,5
"4",1,3,24.2402532632587,54.414,5.5,7,7,1.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"5",1,4,24.04004333369,63.8709999999999,5.5,7,7,1.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"6",1,5,38.1679742173658,60.548,3.5,3.5,3.5,1.5,NA,NA,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"7",1,6,26.7672021841916,66.6509999999998,4.5,5,5,1.5,NA,NA,0.707106781186548,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"8",1,7,27.965672330811,57.9200000000001,6.5,7,7,1.5,NA,NA,0.707106781186548,0,0,0.707106781186548,3,3,3,3,3,3
"9",1,8,22.822889219371,51.6640000000002,6,7,7,1.5,NA,NA,1.4142135623731,0,0,0.707106781186548,3,3,3,3,3,3
"10",2,0,133.107662490958,48.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"11",3,0,30.1065902691899,42.9290000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"12",3,1,35.7972699476881,74.122,4.5,6.5,6,3.5,NA,NA,0.707106781186548,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"13",3,2,34.8917918008792,57.8399999999999,4.5,6.5,7,3.5,NA,NA,0.707106781186548,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"14",3,3,66.2150245413665,82.5790000000002,4.5,3.5,5.5,3.5,NA,NA,2.12132034355964,2.12132034355964,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"15",3,4,51.3131579786724,65.559,5,4,6,3.5,NA,NA,1.4142135623731,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"16",3,5,75.1244841638893,91.0260000000001,4.5,6.5,5,3.5,NA,NA,2.12132034355964,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"17",3,6,57.6729588534917,79.481,5,6,7,3.5,NA,NA,1.4142135623731,1.4142135623731,0,0.707106781186548,3,3,3,3,3,3
"18",3,7,46.3742765921662,46.7710000000002,4.5,4,3,3.5,NA,NA,2.12132034355964,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
"19",3,8,81.3306413665881,92.1700000000001,4,2.5,4.5,3.5,NA,NA,2.82842712474619,0.707106781186548,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"20",4,0,22.2016606740165,45.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"21",4,1,47.9781479822077,46.512,3,4,4.5,5.5,NA,NA,0,1.4142135623731,2.12132034355964,0.707106781186548,3,3,3,3,3,3
"22",4,2,40.7038968459713,56.558,4,5.5,5,5.5,NA,NA,1.4142135623731,0.707106781186548,0,0.707106781186548,3,3,3,3,3,3
"23",4,3,40.495824684135,61.685,6,3,3.5,5.5,NA,NA,1.4142135623731,0,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"24",4,4,40.5610586132038,70.8729999999999,5,5,6.5,5.5,NA,NA,0,1.4142135623731,0.707106781186548,0.707106781186548,3,3,3,3,3,3
"25",4,5,38.7667247672805,67.213,5,6,6,5.5,NA,NA,1.4142135623731,1.4142135623731,1.4142135623731,0.707106781186548,3,3,3,3,3,3
